consumption_id,building_id,year,month,heating_kwh,electricity_kwh,total_cost_eur,heating_cost_eur,outdoor_temp_avg_c,heating_degree_days
CONS-000349,BLD-00030,2024,1,329535.9,5955.1,43030.78,41140.71,-0.8,538.8
CONS-000361,BLD-00031,2024,1,50863.4,2377.9,6660.09,5893.36,-0.7,608.7
CONS-000373,BLD-00032,2024,1,12462.1,656.8,1764.16,1561.78,-2.5,590.6
CONS-000385,BLD-00033,2024,1,11201.6,1645.3,1946.62,1409.42,-1.6,607.9
CONS-000397,BLD-00034,2024,1,78950.4,2052.8,9860.54,9178.93,-1.3,598.5
CONS-000409,BLD-00035,2024,1,22725.0,870.3,3025.84,2744.61,-2.2,582.9
CONS-000421,BLD-00036,2024,1,23997.9,1749.4,3559.89,2977.17,-0.4,562.1
CONS-000433,BLD-00037,2024,1,45201.5,2114.3,6302.06,5600.62,-1.0,546.8
CONS-000445,BLD-00038,2024,1,23408.2,1188.7,3290.65,2914.71,-0.8,592.8
CONS-000457,BLD-00039,2024,1,178065.2,2857.1,21790.16,20894.45,-0.2,601.9
CONS-000469,BLD-00040,2024,1,101982.9,3943.1,13594.79,12270.11,-0.3,541.8
CONS-000481,BLD-00041,2024,1,19795.9,649.9,2621.81,2422.76,-2.3,550.2
CONS-000493,BLD-00042,2024,1,20768.4,332.9,2546.32,2444.95,-0.9,560.1
CONS-000505,BLD-00043,2024,1,22539.0,1422.0,3044.68,2602.54,-0.6,603.6
CONS-000517,BLD-00044,2024,1,88558.6,4663.1,11950.21,10453.16,-2.3,552.6
CONS-000529,BLD-00045,2024,1,241082.5,6051.7,32218.01,30248.84,-1.9,547.3
CONS-000541,BLD-00046,2024,1,6478.2,280.2,881.14,793.42,-0.9,571.2
CONS-000553,BLD-00047,2024,1,101471.0,4854.5,13580.45,11998.96,-0.6,592.1
CONS-000565,BLD-00048,2024,1,59816.7,3147.3,7920.31,6933.23,-1.6,611.7
CONS-000577,BLD-00049,2024,1,48009.7,1032.2,5855.53,5534.55,-1.4,594.2
CONS-000589,BLD-00050,2024,1,39739.3,1343.2,5039.49,4614.34,-0.2,573.9
CONS-000601,BLD-00051,2024,1,32621.0,2232.1,4653.37,3965.75,-0.4,614.2
CONS-000613,BLD-00052,2024,1,23361.9,1219.4,3189.49,2814.86,-1.9,555.6
CONS-000625,BLD-00053,2024,1,67104.2,3013.2,8818.18,7813.08,-1.4,535.3
CONS-000637,BLD-00054,2024,1,25925.6,1170.2,3536.24,3152.63,-3.0,607.2
CONS-000649,BLD-00055,2024,1,253901.8,9508.1,34374.46,31340.51,-2.2,604.7
CONS-000661,BLD-00056,2024,1,8215.5,207.6,1005.65,941.91,-0.7,575.1
CONS-000673,BLD-00057,2024,1,248192.0,6303.2,32087.84,30103.16,-1.9,611.7
CONS-000685,BLD-00058,2024,1,90681.9,4676.1,12412.64,10943.03,-0.4,545.1
CONS-000697,BLD-00059,2024,1,35014.6,1983.0,4774.76,4154.14,-2.8,546.2
CONS-000709,BLD-00060,2024,1,155830.3,7474.6,21271.48,18777.79,-0.4,537.3
CONS-000721,BLD-00061,2024,1,14437.9,551.5,1905.73,1735.91,-2.3,591.4
CONS-000733,BLD-00062,2024,1,6347.8,282.3,866.03,776.94,-1.3,560.0
CONS-000745,BLD-00063,2024,1,31286.2,2034.9,4357.82,3681.17,-0.5,567.7
CONS-000757,BLD-00064,2024,1,21197.3,2233.8,3262.27,2573.91,-1.4,603.9
CONS-000769,BLD-00065,2024,1,107016.9,4646.4,14161.73,12666.29,-0.3,595.2
CONS-000781,BLD-00066,2024,1,229941.1,7319.6,31283.74,28912.07,-2.9,575.9
CONS-000793,BLD-00067,2024,1,10436.3,900.5,1584.03,1289.8,-1.1,561.7
CONS-000805,BLD-00068,2024,1,29979.7,1132.7,3887.92,3514.5,-1.4,548.7
CONS-000817,BLD-00069,2024,1,48424.0,1035.0,5893.77,5562.85,-1.9,597.0
CONS-000829,BLD-00070,2024,1,269349.0,12644.2,34883.59,30772.58,-2.8,550.6
CONS-000841,BLD-00071,2024,1,82568.0,2838.9,10617.98,9718.65,-0.0,535.3
CONS-000853,BLD-00072,2024,1,31514.7,2548.0,4728.63,3881.8,-2.1,614.5
CONS-000865,BLD-00073,2024,1,91753.0,3957.7,12380.5,11058.5,-0.5,539.2
CONS-000877,BLD-00074,2024,1,36095.7,1903.2,5003.01,4412.35,-2.8,565.7
CONS-000889,BLD-00075,2024,1,4103.6,280.6,575.82,488.88,-1.7,566.3
CONS-000901,BLD-00076,2024,1,153824.7,6921.1,20982.16,18823.85,-2.7,604.0
CONS-000913,BLD-00077,2024,1,6454.6,656.5,991.15,774.92,-2.0,559.8
CONS-000925,BLD-00078,2024,1,273813.9,8336.7,36217.16,33512.75,-2.1,609.2
CONS-000937,BLD-00079,2024,1,35586.9,1175.5,4701.35,4325.03,-0.7,609.2
CONS-000949,BLD-00080,2024,1,25879.6,636.3,3432.91,3227.88,-1.4,575.3
CONS-000961,BLD-00081,2024,1,19272.0,581.4,2420.31,2225.58,-0.4,579.5
CONS-000973,BLD-00082,2024,1,3824.0,127.3,501.21,460.6,-0.5,551.1
CONS-000985,BLD-00083,2024,1,167451.3,7463.1,21920.26,19539.81,-2.3,556.5
CONS-000997,BLD-00084,2024,1,43087.5,2606.4,5920.95,5096.58,-2.8,600.4
CONS-001009,BLD-00085,2024,1,87347.2,5621.4,11977.61,10132.56,-2.6,542.0
CONS-001021,BLD-00086,2024,1,44542.5,2530.0,6292.37,5505.68,-0.8,565.2
CONS-001033,BLD-00087,2024,1,18163.9,1317.5,2573.5,2135.62,-1.6,610.3
CONS-001045,BLD-00088,2024,1,44303.2,2847.5,6071.77,5196.74,-1.1,565.4
CONS-001057,BLD-00089,2024,1,11256.5,598.6,1488.85,1292.48,-2.0,558.2
CONS-001069,BLD-00090,2024,1,57413.7,3352.9,8194.6,7171.75,-0.5,576.3
CONS-001081,BLD-00091,2024,1,178339.1,9555.5,24519.81,21357.54,-2.9,597.7
CONS-001093,BLD-00092,2024,1,42601.6,1964.5,5609.28,4982.84,-1.2,562.3
CONS-001105,BLD-00093,2024,1,33150.4,1613.2,4520.71,4025.97,-1.4,588.4
CONS-001117,BLD-00094,2024,1,54455.4,2602.0,7481.09,6652.85,-0.5,554.5
CONS-001129,BLD-00095,2024,1,190963.0,4481.0,24505.66,23018.52,-2.4,558.3
CONS-001141,BLD-00096,2024,1,34888.1,1026.0,4346.47,4012.46,-1.6,549.2
CONS-001153,BLD-00097,2024,1,105332.8,3778.6,14171.12,12951.45,-2.4,547.9
CONS-001165,BLD-00098,2024,1,21325.4,1378.1,3078.5,2625.93,-2.9,589.4
CONS-001177,BLD-00099,2024,1,35623.9,1629.0,4746.85,4229.54,-1.6,596.3
CONS-001189,BLD-00100,2024,1,113176.3,4210.0,14505.15,13177.02,-2.4,540.0
CONS-001201,BLD-00101,2024,1,97974.2,4837.0,13065.63,11536.63,-1.2,611.9
CONS-001213,BLD-00102,2024,1,10915.5,378.2,1407.21,1290.29,-2.0,601.1
CONS-001225,BLD-00103,2024,1,50822.8,3586.5,7081.72,5929.24,-1.4,574.5
CONS-001237,BLD-00104,2024,1,21945.6,1442.5,3030.04,2583.36,-0.5,535.8
CONS-001249,BLD-00105,2024,1,46095.9,3154.2,6572.62,5573.64,-2.3,602.6
CONS-001261,BLD-00106,2024,1,152665.6,6495.3,20018.82,17871.53,-1.7,558.4
CONS-001273,BLD-00107,2024,1,39890.5,3023.4,5586.83,4596.17,-0.6,604.2
CONS-001285,BLD-00108,2024,1,63425.2,1768.7,8213.31,7658.94,-2.1,598.6
CONS-001297,BLD-00109,2024,1,101280.4,4984.1,13555.38,12038.89,-1.5,575.7
CONS-001309,BLD-00110,2024,1,10682.2,1021.7,1589.02,1248.43,-0.6,557.8
CONS-001321,BLD-00111,2024,1,16550.9,968.0,2282.17,1960.75,-0.3,611.4
CONS-001333,BLD-00112,2024,1,35067.3,2010.8,4961.87,4316.41,-1.3,536.5
CONS-001345,BLD-00113,2024,1,62922.6,3049.4,8779.24,7806.25,-1.2,549.1
CONS-001357,BLD-00114,2024,1,7121.2,490.3,1041.67,878.21,-2.5,558.4
CONS-001369,BLD-00115,2024,1,54641.9,3689.3,7743.27,6605.71,-1.5,603.9
CONS-001381,BLD-00116,2024,1,20958.7,787.9,2894.76,2635.56,-2.1,595.6
CONS-001393,BLD-00117,2024,1,19531.6,1276.0,2767.61,2375.63,-1.4,570.3
CONS-001405,BLD-00118,2024,1,19269.2,557.5,2556.6,2369.39,-2.8,559.5
CONS-001417,BLD-00119,2024,1,56065.4,1938.2,7136.09,6508.94,-2.0,548.7
CONS-001429,BLD-00120,2024,1,77217.8,4274.4,10260.9,8952.28,-0.4,548.3
CONS-001441,BLD-00121,2024,1,29236.8,2577.4,4406.29,3559.64,-0.4,544.2
CONS-001453,BLD-00122,2024,1,44810.2,2060.4,5979.77,5344.5,-2.5,596.3
CONS-001465,BLD-00123,2024,1,114427.1,5123.5,15203.81,13640.78,-1.4,591.4
CONS-001477,BLD-00124,2024,1,1771.2,189.4,272.25,210.76,-1.4,599.0
CONS-001489,BLD-00125,2024,1,56519.8,4988.1,8234.1,6605.8,-1.1,613.9
CONS-001501,BLD-00126,2024,1,51297.5,1768.3,6870.34,6300.28,-2.9,589.7
CONS-001513,BLD-00127,2024,1,194374.1,4308.6,23961.63,22632.55,-1.0,556.2
CONS-001525,BLD-00128,2024,1,65288.1,1876.1,8791.37,8204.12,-0.9,567.3
CONS-001537,BLD-00129,2024,1,6010.5,204.2,776.96,711.61,-0.6,536.9
CONS-001549,BLD-00130,2024,1,143281.9,6512.7,19169.13,17161.61,-0.6,574.8
CONS-001561,BLD-00131,2024,1,28908.2,652.1,3570.49,3356.45,-2.9,607.1
CONS-001573,BLD-00132,2024,1,21917.7,1102.6,2904.75,2551.91,-0.1,562.6
CONS-001585,BLD-00133,2024,1,94151.4,2741.9,11739.55,10868.06,-1.3,579.0
CONS-001597,BLD-00134,2024,1,71110.5,2431.0,9409.83,8626.08,-2.5,596.9
CONS-001609,BLD-00135,2024,1,116185.4,4087.8,14790.93,13518.94,-1.9,598.4
CONS-001621,BLD-00136,2024,1,133529.1,4397.9,18132.43,16720.82,-2.9,607.8
CONS-001633,BLD-00137,2024,1,30530.6,2219.0,4229.93,3519.61,-0.0,586.4
CONS-001645,BLD-00138,2024,1,47529.1,1920.8,6229.11,5607.26,-0.0,562.2
CONS-001657,BLD-00139,2024,1,35224.8,2021.8,5041.25,4364.08,-0.0,582.6
CONS-001669,BLD-00140,2024,1,146336.3,5355.3,18685.11,17053.13,-1.3,569.3
CONS-001681,BLD-00141,2024,1,100848.9,2478.4,13443.52,12680.37,-2.0,585.3
CONS-001693,BLD-00142,2024,1,20442.3,864.7,2719.76,2454.73,-1.0,542.7
CONS-001705,BLD-00143,2024,1,21274.1,1134.6,2870.21,2492.59,-1.6,554.5
CONS-001717,BLD-00144,2024,1,39540.0,1485.1,5276.02,4812.14,-0.1,598.3
CONS-001729,BLD-00145,2024,1,77025.1,2139.9,9617.11,8958.22,-2.6,588.3
CONS-001741,BLD-00146,2024,1,82061.9,5981.2,11553.79,9547.91,-0.9,604.3
CONS-001753,BLD-00147,2024,1,186540.9,4879.4,22898.64,21307.88,-2.8,609.2
CONS-001765,BLD-00148,2024,1,35496.8,4154.6,5683.62,4372.93,-2.0,596.8
CONS-001777,BLD-00149,2024,1,124957.6,4376.4,15979.01,14597.56,-0.7,556.2
CONS-001789,BLD-00150,2024,1,4017.9,400.6,609.59,476.71,-1.1,591.6
CONS-001801,BLD-00151,2024,1,15829.6,1865.5,2432.64,1864.86,-1.5,600.6
CONS-001813,BLD-00152,2024,1,75223.4,2869.4,10200.32,9263.53,-1.4,568.7
CONS-001825,BLD-00153,2024,1,13531.4,702.9,1771.58,1553.3,-0.6,549.8
CONS-001837,BLD-00154,2024,1,23790.9,1482.4,3462.49,2970.56,-0.6,541.3
CONS-001849,BLD-00155,2024,1,3685.9,255.6,535.37,451.5,-2.3,597.6
CONS-001861,BLD-00156,2024,1,117930.9,2616.4,14886.81,14022.84,-0.2,549.6
CONS-001873,BLD-00157,2024,1,24538.9,1195.0,3465.29,3083.9,-1.3,576.8
CONS-001885,BLD-00158,2024,1,25572.6,1242.8,3547.47,3161.19,-1.8,595.1
CONS-001897,BLD-00159,2024,1,79120.5,2028.4,10084.85,9452.91,-1.0,605.0
CONS-001909,BLD-00160,2024,1,10345.7,1287.4,1683.36,1264.57,-1.1,553.1
CONS-001921,BLD-00161,2024,1,64437.0,4928.5,9359.54,7713.34,-2.2,557.0
CONS-001933,BLD-00162,2024,1,107516.2,3549.4,14300.52,13206.86,-1.7,575.6
CONS-001945,BLD-00163,2024,1,6563.3,497.6,918.14,752.75,-1.0,614.7
CONS-001957,BLD-00164,2024,1,33205.3,983.0,4479.34,4149.62,-0.2,552.5
CONS-001969,BLD-00165,2024,1,55878.1,1881.0,7580.79,6991.82,-0.5,606.0
CONS-001981,BLD-00166,2024,1,26556.1,744.3,3267.94,3038.88,-2.7,547.5
CONS-001993,BLD-00167,2024,1,165216.8,3866.2,21446.98,20260.43,-0.4,578.9
CONS-002005,BLD-00168,2024,1,121788.2,5696.4,16176.7,14322.71,-1.6,581.0
CONS-002017,BLD-00169,2024,1,31529.6,1572.5,4201.72,3720.0,-1.6,552.2
CONS-002029,BLD-00170,2024,1,44701.4,1592.9,5822.5,5299.36,-0.8,541.1
CONS-002041,BLD-00171,2024,1,222132.6,4375.4,28619.45,27164.01,-2.0,602.3
CONS-002053,BLD-00172,2024,1,33132.6,895.3,4302.87,4016.18,-0.9,611.4
CONS-002065,BLD-00173,2024,1,52801.1,2115.5,7301.08,6605.29,-1.3,576.7
CONS-002077,BLD-00174,2024,1,6490.4,362.5,895.13,774.85,-1.7,538.9
CONS-002089,BLD-00175,2024,1,38332.3,2645.1,5234.36,4402.75,-0.0,574.7
CONS-002101,BLD-00176,2024,1,36515.0,2009.7,4948.44,4334.94,-0.1,592.6
CONS-002113,BLD-00177,2024,1,14029.3,590.2,1822.25,1641.94,-0.0,559.5
CONS-002125,BLD-00178,2024,1,30089.2,1074.5,4041.7,3695.08,-2.1,584.4
CONS-002137,BLD-00179,2024,1,47278.5,2488.6,6201.22,5433.39,-2.5,606.9
CONS-002149,BLD-00180,2024,1,103881.8,2407.6,12967.34,12164.75,-2.6,545.8
CONS-002161,BLD-00181,2024,1,50470.4,1792.5,6796.31,6220.73,-0.6,545.8
CONS-002173,BLD-00182,2024,1,33946.2,773.6,4445.98,4205.09,-1.2,590.1
CONS-002185,BLD-00183,2024,1,57798.8,4338.2,8374.76,6933.55,-2.8,586.1
CONS-002197,BLD-00184,2024,1,38425.2,3038.2,5439.36,4454.24,-1.1,601.9
CONS-002209,BLD-00185,2024,1,22169.1,1685.9,3248.25,2688.33,-1.4,610.6
CONS-002221,BLD-00186,2024,1,78619.7,2569.8,9961.99,9176.28,-2.5,536.1
CONS-002233,BLD-00187,2024,1,129431.6,5099.3,17162.49,15509.58,-0.4,559.8
CONS-002245,BLD-00188,2024,1,5046.7,170.8,656.75,603.68,-1.7,584.2
CONS-002257,BLD-00189,2024,1,56458.6,1688.7,7258.87,6738.44,-2.8,552.2
CONS-002269,BLD-00190,2024,1,59314.2,2684.3,8275.4,7436.05,-0.4,576.3
CONS-002281,BLD-00191,2024,1,49194.4,1971.4,6552.37,5917.42,-1.4,591.1
CONS-002293,BLD-00192,2024,1,57063.7,2442.5,7838.95,7070.65,-1.6,613.2
CONS-002305,BLD-00193,2024,1,243793.5,7755.0,30239.47,27872.62,-2.0,578.4
CONS-002317,BLD-00194,2024,1,19221.8,465.5,2429.24,2286.02,-1.4,603.3
CONS-002329,BLD-00195,2024,1,57929.4,1942.6,7819.27,7216.98,-0.2,575.1
CONS-002341,BLD-00196,2024,1,44581.5,2680.5,6319.97,5488.84,-1.1,564.9
CONS-002353,BLD-00197,2024,1,52129.9,2422.5,6996.7,6251.69,-1.3,550.0
CONS-002365,BLD-00198,2024,1,2799.6,316.2,433.75,329.85,-1.0,580.3
CONS-002377,BLD-00199,2024,1,111444.2,3248.4,14733.89,13700.08,-1.2,603.4
CONS-002389,BLD-00200,2024,1,49229.4,4535.9,7491.81,6030.84,-2.7,539.7
CONS-002401,BLD-00201,2024,1,191060.1,5763.4,24668.67,22903.75,-2.9,559.6
CONS-002413,BLD-00202,2024,1,6019.8,637.9,910.57,708.71,-0.7,538.4
CONS-002425,BLD-00203,2024,1,64941.9,5368.7,9675.54,8038.17,-2.4,563.8
CONS-002437,BLD-00204,2024,1,26404.9,1346.7,3565.26,3153.01,-2.3,598.3
CONS-002449,BLD-00205,2024,1,39819.4,1824.4,5507.45,4911.55,-1.9,582.4
CONS-002461,BLD-00206,2024,1,244028.8,4975.7,31597.53,29961.81,-0.9,583.5
CONS-002473,BLD-00207,2024,1,104604.5,2800.6,13518.89,12612.52,-0.9,605.2
CONS-002485,BLD-00208,2024,1,18155.8,515.4,2399.29,2232.96,-0.2,582.9
CONS-002497,BLD-00209,2024,1,194082.6,3238.2,25192.8,24206.6,-1.2,549.4
CONS-002509,BLD-00210,2024,1,104643.2,3296.6,13121.08,12057.16,-0.5,589.0
CONS-002521,BLD-00211,2024,1,76859.4,3340.3,10258.09,9214.49,-2.2,556.6
CONS-002533,BLD-00212,2024,1,229804.8,6007.7,29842.03,27996.59,-1.6,584.5
CONS-002545,BLD-00213,2024,1,18656.1,652.6,2528.85,2311.12,-0.6,553.3
CONS-002557,BLD-00214,2024,1,17872.2,1280.8,2591.38,2178.87,-1.6,561.8
CONS-002569,BLD-00215,2024,1,93231.4,5079.2,13138.14,11446.83,-2.3,543.2
CONS-002581,BLD-00216,2024,1,157838.4,4597.4,20214.32,18807.34,-2.3,591.5
CONS-002593,BLD-00217,2024,1,11878.2,1746.5,2052.97,1486.87,-1.3,598.3
CONS-002605,BLD-00218,2024,1,27506.5,1306.0,3674.28,3241.79,-2.7,579.3
CONS-002617,BLD-00219,2024,1,36787.1,2998.9,5390.43,4448.77,-0.1,587.3
CONS-002629,BLD-00220,2024,1,52329.4,1964.8,6970.33,6313.71,-1.4,581.1
CONS-002641,BLD-00221,2024,1,20276.1,1593.9,2897.35,2383.64,-1.0,557.6
CONS-002653,BLD-00222,2024,1,24929.9,1283.1,3371.5,2941.46,-1.1,583.4
CONS-002665,BLD-00223,2024,1,55096.6,2803.4,7791.74,6887.1,-2.5,573.5
CONS-002677,BLD-00224,2024,1,39808.7,1524.6,5132.42,4652.63,-3.0,592.9
CONS-002689,BLD-00225,2024,1,98360.9,3287.3,13235.06,12172.68,-2.6,574.2
CONS-002701,BLD-00226,2024,1,21859.6,966.5,2969.05,2670.63,-1.5,606.8
CONS-002713,BLD-00227,2024,1,157010.3,3747.0,20528.71,19347.42,-2.1,612.3
CONS-002725,BLD-00228,2024,1,20946.5,1035.3,2759.47,2439.14,-0.9,535.7
CONS-002737,BLD-00229,2024,1,218554.8,8076.9,29849.26,27369.17,-0.2,540.8
CONS-002749,BLD-00230,2024,1,30949.9,2096.0,4251.78,3563.46,-0.4,570.7
CONS-002761,BLD-00231,2024,1,19765.5,847.9,2623.08,2351.94,-1.3,599.7
CONS-002773,BLD-00232,2024,1,244864.5,10021.8,31338.49,27975.04,-0.1,550.9
CONS-002785,BLD-00233,2024,1,17755.7,1422.1,2588.22,2120.83,-1.2,583.1
CONS-002797,BLD-00234,2024,1,18125.4,741.9,2348.1,2101.01,-1.6,604.5
CONS-002809,BLD-00235,2024,1,29632.5,1046.8,3865.75,3515.63,-2.0,584.4
CONS-002821,BLD-00236,2024,1,153095.5,5194.6,19737.94,18065.39,-1.6,540.8
CONS-002833,BLD-00237,2024,1,92852.1,4974.7,12318.27,10780.59,-2.2,597.2
CONS-002845,BLD-00238,2024,1,44431.1,2578.9,5945.84,5155.01,-2.7,559.3
CONS-002857,BLD-00239,2024,1,26070.8,1978.0,3783.55,3160.6,-1.9,569.1
CONS-002869,BLD-00240,2024,1,20507.7,1173.1,2806.23,2424.9,-2.5,570.5
CONS-002881,BLD-00241,2024,1,65032.9,2382.3,8823.65,8049.64,-2.4,575.7
CONS-002893,BLD-00242,2024,1,53593.3,1457.1,6832.22,6343.37,-0.2,561.0
CONS-002905,BLD-00243,2024,1,68963.4,1833.7,8790.44,8174.42,-2.8,580.9
CONS-002917,BLD-00244,2024,1,17740.8,1305.1,2502.97,2103.92,-1.5,536.1
CONS-002929,BLD-00245,2024,1,96946.0,1707.1,12460.35,11901.14,-1.2,543.4
CONS-002941,BLD-00246,2024,1,182560.2,4261.8,23513.74,22110.23,-1.1,591.3
CONS-002953,BLD-00247,2024,1,82217.0,2912.6,10981.49,10049.93,-2.0,571.9
CONS-002965,BLD-00248,2024,1,27286.2,1351.9,3634.72,3213.65,-0.7,549.1
CONS-002977,BLD-00249,2024,1,4774.7,547.1,769.18,590.69,-2.4,568.2
CONS-002989,BLD-00250,2024,1,65008.3,3553.6,9028.34,7939.75,-0.0,549.7
CONS-003001,BLD-00251,2024,1,80707.5,2058.5,10410.29,9742.4,-2.7,587.2
CONS-003013,BLD-00252,2024,1,23876.1,1908.9,3421.37,2810.81,-0.4,615.0
CONS-003025,BLD-00253,2024,1,36925.4,824.4,4876.6,4623.74,-0.5,553.1
CONS-003037,BLD-00254,2024,1,124661.4,2127.1,15648.29,14951.3,-0.8,567.6
CONS-003049,BLD-00255,2024,1,8949.3,550.7,1223.97,1052.36,-1.6,594.2
CONS-003061,BLD-00256,2024,1,27079.3,934.9,3560.14,3266.63,-2.4,555.2
CONS-003073,BLD-00257,2024,1,11698.7,531.8,1639.0,1468.46,-3.0,548.7
CONS-003085,BLD-00258,2024,1,76358.1,3619.5,10279.62,9142.5,-0.2,555.3
CONS-003097,BLD-00259,2024,1,168350.2,2772.4,21655.33,20806.63,-0.1,542.4
CONS-003109,BLD-00260,2024,1,19163.7,1251.1,2590.47,2206.12,-2.8,548.9
CONS-003121,BLD-00261,2024,1,53669.3,2172.2,7342.86,6663.69,-0.7,539.8
CONS-003133,BLD-00262,2024,1,14887.2,1350.4,2164.46,1738.07,-0.9,570.4
CONS-003145,BLD-00263,2024,1,13068.1,930.0,1820.31,1521.24,-0.4,562.7
CONS-003157,BLD-00264,2024,1,102207.3,4049.0,13777.79,12513.45,-0.5,544.0
CONS-003169,BLD-00265,2024,1,164115.9,4331.6,21939.82,20531.91,-0.5,546.6
CONS-003181,BLD-00266,2024,1,159924.1,3457.9,20265.1,19210.11,-1.6,593.0
CONS-003193,BLD-00267,2024,1,22405.4,913.5,2871.44,2581.68,-1.2,595.3
CONS-003205,BLD-00268,2024,1,14654.0,897.7,1985.23,1701.98,-0.5,546.1
CONS-003217,BLD-00269,2024,1,110605.9,5198.2,15387.84,13674.97,-1.6,610.8
CONS-003229,BLD-00270,2024,1,16743.3,925.1,2363.22,2080.77,-0.3,603.1
CONS-003241,BLD-00271,2024,1,20996.3,728.4,2629.92,2399.24,-0.8,569.7
CONS-003253,BLD-00272,2024,1,146405.4,4272.6,19540.01,18151.33,-1.7,580.6
CONS-003265,BLD-00273,2024,1,17095.6,2410.8,2770.73,1964.29,-1.8,610.2
CONS-003277,BLD-00274,2024,1,18085.5,1109.4,2432.64,2081.19,-1.2,569.7
CONS-003289,BLD-00275,2024,1,77722.7,2511.5,9794.39,9025.5,-1.7,569.1
CONS-003301,BLD-00276,2024,1,147557.7,7333.7,20195.71,17966.1,-1.7,579.6
CONS-003313,BLD-00277,2024,1,72740.1,4613.9,10119.71,8582.46,-1.3,542.3
CONS-003325,BLD-00278,2024,1,28600.9,1098.3,3864.97,3498.08,-2.1,558.8
CONS-003337,BLD-00279,2024,1,5373.3,540.8,815.29,650.4,-1.7,575.1
CONS-003349,BLD-00280,2024,1,110377.9,5548.1,14485.75,12741.21,-1.2,607.5
CONS-003361,BLD-00281,2024,1,13098.9,823.2,1868.98,1598.55,-2.8,582.8
CONS-003373,BLD-00282,2024,1,108264.4,4667.7,14646.21,13080.68,-1.3,579.6
CONS-003385,BLD-00283,2024,1,22646.4,682.3,2873.31,2649.49,-0.6,551.4
CONS-003397,BLD-00284,2024,1,81269.5,2229.9,10601.61,9863.38,-2.4,609.8
CONS-003409,BLD-00285,2024,1,40096.1,2737.7,5720.27,4846.49,-2.3,597.1
CONS-003421,BLD-00286,2024,1,52617.7,2100.0,7011.47,6353.56,-2.0,549.1
CONS-003433,BLD-00287,2024,1,146071.1,4247.0,18869.14,17563.57,-2.9,549.4
CONS-003445,BLD-00288,2024,1,68996.6,2604.9,9261.4,8432.58,-2.2,559.2
CONS-003457,BLD-00289,2024,1,10000.3,576.6,1423.43,1246.3,-0.0,599.0
CONS-003469,BLD-00290,2024,1,45913.2,2777.1,6441.63,5553.51,-1.5,550.0
